; Constellation figure definitions for SkyMap Pro 8.
;
; Taken from the constellation maps from Antonín Rükl from
; "Souhvezdí", published by Artia, Prague in 1971 and from second book
; with unknown original title (spanish translated title is "Estrellas y
; Planetas") published 1988 by Artia, Prague in 1988.
;
; Prepared for SkyMap Pro 8 by Ben Siemerink in December 2001.
;
; Each line in this file has the format:
;   Data    Command
;
; Data is a Tycho catalog number, if it refers to a star, or
; 0 for a command. The catalog number has the form:
;
;   ZZZZNNNNNP
;
; where:
;   ZZZZ    Tycho zone.
;   NNNNN   Star number within the zone.
;   P       Proximity flag.
;
; Commands are:
;   0   Move to "data"
;   1   Draw from previous position to "data"
;   2   End of this constellation figure
;   3   End of file
;   4   Start of constellation "data".  Data is constellation index.
;   5   Draw a dotted line from previous position to "data"
;

; Andromeda

8812012571 1	draw to delta
8793014781 0	move to theta
8804013751 1	draw to beta
0000000000 2	end

; Lacerta

3619040811 0	move to beta
3628031931 1	draw to alpha
3615030211 1	draw to 4
3611023041 1	draw to 5
3607026001 1	draw to 2
3209022601 1	draw to 6
3203024021 1	draw to 3203-2402-1
3199035911 1	draw to 1
0000000000 2	end

; Leo

1960015501 0	move to epsilon
1964014731 1	draw to mu
1969012611 1	draw to zeta
1423013491 1	draw to gamma 1
1412016951 1	draw to eta
0833013811 1	draw to alpha
1437028471 1	draw to theta
0870009881 1	draw to beta
1439024791 1	draw to delta
1423013491 1	draw to gamma 1
0000000000 2	end

; Leo Minor

2500015321 0	move to 10
2509013431 1	draw to 21
2517012091 1	draw to beta
2521022711 1	draw to 46 (omicron)
0000000000 2	end

; Lepus

5338014471 0	move to kappa
5902017211 1	draw to mu
5343015291 1	draw to lambda
5360013701 0	move to eta
5359017781 1	draw to zeta
5920016851 1	draw to alpha
5902017211 1	draw to mu
5913013741 1	draw to epsilon
5928016571 1	draw to beta
5930021971 1	draw to gamma
5930021951 1	draw to delta
0000000000 2	end

; Libra

5608013811 0	move to gamma
5585010141 1	draw to beta
6155012101 1	draw to alpha 2
6752014551 1	draw to sigma
0000000000 2	end

; Lupus

8283041341 0	move to alpha
7832024901 1	draw to beta
7839028031 1	draw to delta
7325016911 1	draw to phi 1
7332025121 1	draw to chi
7851018141 1	draw to eta
7840014321 1	draw to gamma
7847025051 1	draw to epsilon
8298041841 1	draw to kappa
8306033621 1	draw to zeta
8283041341 1	draw to alpha
0000000000 2	end

; Lynx

2496017281 0	move to alpha
2499016552 1	draw to 38
2983019831 1	draw to 2983-1983-1
2986019781 1	draw to 2986-1978-1
2980021841 1	draw to 31
3401016481 1	draw to 21
3779017301 1	draw to 15
3776024651 1	draw to 2
0000000000 2	end

; Lyra

3105020701 0	move to alpha
3118020801 1	draw to zeta 1
2642029291 1	draw to beta
3118020801 0	move to zeta 1
2650021461 1	draw to delta 1
2643033461 1	draw to gamma
0000000000 2	end

; Mensa

9176009871 0	move to alpha
9378016921 1	draw to gamma
9173010011 1	draw to eta
9169015911 1	draw to beta
0000000000 2	end

; Microscopium

7465014451 0	move to alpha
7475011291 1	draw to gamma
7476009231 1	draw to epsilon
7983012001 1	draw to theta 1
7975013471 1	draw to iota
7465014451 1	draw to alpha
0000000000 2	end

; Monoceros

4851028781 0	move to zeta
5414027461 1	draw to alpha
4815038161 1	draw to delta
4797018801 1	draw to beta
4795017691 1	draw to gamma
4815038161 0	move to delta
0141024521 1	draw to 8
