; Original constellation figure definitions for SkyMap Pro.
; Copyright Y C.A.Marriott 1998.
;
; Each line in this file has the format:
;   Data    Command
;
; Data is a PPM catalog number if it refers to a star.
; Commands are:
;   0   Move to "data"
;   1   Draw a solid line from previous position to "data"
;   2   End of this constellation figure
;   3   End of file
;   4   (not used)
;   5   Draw a dotted line from previous position to "data"
;

; Andromeda

067170 1        draw to gamma
091161 1        draw to alpha
000000 2        end

; Triangulum Australe

362330 0        move to alpha
361732 1        draw to beta
361547 1        draw to epsilon
361338 1        draw to gamma
362330 1        draw to alpha
000000 2        end

; Tucana

365805 0        move to delta
365714 1        draw to alpha
350952 1        draw to gamma
366744 1        draw to epsilon
351761 1        draw to zeta
351869 1        draw to beta
350952 1        draw to gamma
000000 2        end

; Ursa Major

053742 0        move to eta
034007 1        draw to zeta
033769 1        draw to epsilon
033469 1        draw to delta
033292 1        draw to gamma
032912 1        draw to beta
017705 1        draw to alpha
033469 1        draw to delta
017705 0        move to alpha
017085 5        draw dotted to 23
016654 5        draw dotted to omicron
050941 5        draw dotted to iota
050987 5        draw dotted to kappa
051850 5        draw dotted to mu
400161 5        draw dotted to xi
075790 5        draw dotted to nu
052277 5        draw dotted to psi
052620 5        draw dotted to chi
053742 5        draw dotted to eta
017085 0        move to 23
032349 5        draw dotted to upsilon
032355 5        draw dotted to phi
051795 5        draw dotted to lambda
000000 2        end

; Ursa Minor

000431 0        move to alpha
003067 1        draw to delta
002925 1        draw to epsilon
008992 1        draw to zeta
008758 1        draw to beta
008887 1        draw to gamma
009157 1        draw to eta
008992 1        draw to zeta
000000 2        end

; Vela

315716 0        move to mu
315541 1        draw to rho
315161 1        draw to q
314390 1        draw to psi
313999 1        draw to lambda
313500 1        draw to d
313335 1        draw to e
312662 1        draw to gamma
337198 1        draw to delta
337874 1        draw to kappa
338507 1        draw to phi
315716 1        draw to mu
000000 2        end

; Virgo

