/Constellations/ConstellationFigures/dhmenz11/DHMENZEL.TXT
1 7927	1634030551 1        draw to delta
1 7946	1634030561 1        draw to gamma 1
1 7905	1633024421 1        draw to alpha
1 7881	1100017201 1        draw to beta
0 1337	8075017961 0        move to gamma
1 1464	8512021151 1        draw to alpha
1 1921	8883016411 1        draw to beta
1 2014	8904015221 1        draw to delta
//1 8896015351	8896015351 1        draw to unnamed
1 1921	8883016411 1        draw to beta
0 4433	4392018051 0        move to lambda
1 4786	4394018701 1        draw to kappa
1 5290	4174012621 1        draw to alpha
1 5743	3875016201 1        draw to iota
1 5985	3883015431 1        draw to theta
1 6131	4190025681 1        draw to eta
1 6395	4210010481 1        draw to zeta
1 6919	4437014921 1        draw to phi
1 7309	4444022391 1        draw to delta
1 6687	3910017101 1        draw to xi
1 6553	3892016201 1        draw to nu 1
1 6535	3521018001 1        draw to beta
1 6704	3523016841 1        draw to gamma
1 6687	3910017101 1        draw to xi
0 7581	4449026521 0        move to epsilon
1 7309	4444022391 1        draw to delta
0 6926	4437014911 0        move to chi
1 6919	4437014921 1        draw to phi
//0 5327014341	5327014341 0        move to 53
1 1678	5330017231 1        draw to lambda
1 1665	4759016711 1        draw to beta
1 1559	4745018411 1        draw to omega
1 1519	4740019161 1        draw to mu
1 1462	4738014841 1        draw to nu
1 1297	4732019701 1        draw to omicron 1
1 1230	5311012851 1        draw to gamma
1 1135	5303013201 1        draw to delta
1 1083	5296015331 1        draw to epsilon
1 873	5287010761 1        draw to eta
1 817	6438011101 1        draw to tau 3
1 817	5878012921 1        draw to tau 4
1 817	5880012661 1        draw to tau 5
1 817	6448013701 1        draw to tau 6
1 1346	7038015091 1        draw to upsilon 2
//1 7041016051	7041016051 1        draw to 43
//1 7040015341	7040015341 1        draw to 41
//1 7035013741	7035013741 1        draw to g
//1 7570015861	7570015861 1        draw to f
//1 7567011831	7567011831 1        draw to e
1 896	7563010161 1        draw to theta
1 793	7559011601 1        draw to iota
//1 7558009871	7558009871 1        draw to s
1 720	8052013801 1        draw to kappa
1 673	8055012701 1        draw to phi
1 565	8047013211 1        draw to chi
1 471	8478013951 1        draw to alpha
0 962	6445009901 0        move to alpha
1 840	7012010191 1        draw to beta
0 2889	2457024071 0        move to alpha
1 2696	2438010591 1        draw to tau
1 2472	1897016391 1        draw to epsilon
1 2285	1878014291 1        draw to mu
1 2215	1877017161 1        draw to eta
//1 1864020111	1864020111 1        draw to 1
0 2472	1897016391 0        move to epsilon
1 2342	1336018121 1        draw to nu
0 2989	1920021941 0        move to beta
1 2904	1919021091 1        draw to upsilon
1 2776	1359026721 1        draw to delta
1 2649	1353015501 1        draw to zeta
1 2420	1329017461 1        draw to gamma
0 2776	1359026721 0        move to delta
1 2762	1346013961 1        draw to lambda
1 2483	0754023561 1        draw to xi
0 2984	1916021561 0        move to kappa
1 2904	1919021091 1        draw to upsilon
1 2820	1918023391 1        draw to iota
1 2696	2438010591 1        draw to tau
1 2539	2444011131 1        draw to theta
0 8352	7494017481 0        move to gamma
1 8410	7995013431 1        draw to lambda
1 8424	8438019591 1        draw to alpha
1 8555	8003013721 1        draw to delta 1
1 8786	8012012481 1        draw to theta
1 8819	8448013621 1        draw to iota
1 8635	8446016441 1        draw to beta
1 8424	8438019591 1        draw to alpha
0 8635	8446016441 0        move to beta
1 8674	8453014991 1        draw to epsilon
0 8635	8446016441 0        move to beta
1 8746	8824015031 1        draw to zeta
0 6022	3067018421 0        move to phi
1 6091	3492019091 1        draw to tau
1 6167	3066022131 1        draw to sigma
1 6219	3070015951 1        draw to eta
1 6211	2582031581 1        draw to zeta
1 6147	1518014421 1        draw to beta
1 6094	1513012611 1        draw to gamma
0 6219	3070015951 0        move to eta
1 6417	2604017741 1        draw to pi
0 6147	1518014421 0        move to beta
1 6405	0990021331 1        draw to alpha
0 6587	3510018761 0        move to iota
1 6417	2604017741 1        draw to pi
1 6323	2590014121 1        draw to epsilon
1 6409	2065019301 1        draw to delta
1 6405	0990021331 1        draw to alpha
0 6147	1518014421 0        move to beta
1 6525	2079020571 1        draw to lambda
1 6622	2085030621 1        draw to mu
1 6702	2102027721 1        draw to xi
1 6778	2103030781 1        draw to omicron
0 6694	2620022981 0        move to theta
1 6706	2608024111 1        draw to nu
1 6702	2102027721 1        draw to xi
//1 1566036741	1566036741 1        draw to 95
//1 1579018521	1579018521 1        draw to 102
0 5286	6738013811 0        move to pi
//1 6713000241	6713000241 1        draw to R
1 5019	6700014361 1        draw to gamma
1 4551	7226016501 1        draw to beta
1 4449	7216012611 1        draw to xi
1 4551	6649012741 1        draw to beta Cra
1 3747	6079019011 1        draw to alpha Cra
1 4231	6075018311 1        draw to nu
1 4093	6061011341 1        draw to mu
1 3993	5485013101 1        draw to lambda
1 3902	5487016531 1        draw to upsilon 1
1 3747	5460015921 1        draw to alpha
1 3844	4894025291 1        draw to iota
1 3758	4894025281 1        draw to tau 2
1 3664	0227025441 1        draw to theta
1 3546	0225011161 1        draw to zeta
1 3453	0215020211 1        draw to eta
1 3417	0215020221 1        draw to sigma
1 3409	0223017951 1        draw to delta
1 3481	0224013332 1        draw to epsilon
1 3546	0225011161 1        draw to zeta
0 97	9350016261 0        move to beta
1 1207	9159016341 1        draw to gamma
1 805	9144016861 1        draw to epsilon
1 704	9144016881 1        draw to delta
1 590	8851020271 1        draw to alpha
0 7868	8411018221 0        move to alpha
1 7985	8804013751 1        draw to beta
